--- RESET ---
00:00:59 3968 mV
00:01:59 3959 mV
00:02:59 3953 mV
00:03:58 3949 mV
00:04:58 3944 mV
00:05:58 3940 mV
00:06:58 3936 mV
00:07:58 3933 mV
00:08:58 3931 mV
00:09:57 3927 mV
00:10:57 3925 mV
00:11:57 3920 mV
00:12:57 3918 mV
00:13:57 3914 mV
00:14:57 3913 mV
00:15:56 3896 mV
00:16:56 3893 mV
00:17:56 3891 mV
00:18:56 3887 mV
00:19:56 3884 mV
00:20:56 3882 mV
00:21:56 3879 mV
00:22:55 3875 mV
00:23:55 3871 mV
00:24:55 3870 mV
00:25:55 3866 mV
00:26:55 3863 mV
00:27:55 3861 mV
00:28:54 3857 mV
00:29:54 3854 mV
00:30:54 3852 mV
00:31:54 3849 mV
00:32:54 3845 mV
00:33:54 3843 mV
00:34:54 3840 mV
00:35:53 3836 mV
00:36:53 3833 mV
00:37:53 3831 mV
00:38:53 3828 mV
00:39:53 3826 mV
00:40:53 3823 mV
00:41:52 3819 mV
00:42:52 3818 mV
00:43:52 3814 mV
00:44:52 3812 mV
00:45:52 3809 mV
00:46:52 3806 mV
00:47:52 3804 mV
00:48:51 3800 mV
00:49:51 3767 mV
00:50:51 3765 mV
00:51:51 3762 mV
00:52:51 3759 mV
00:53:51 3757 mV
00:54:51 3754 mV
00:55:50 3752 mV
00:56:50 3749 mV
00:57:50 3745 mV
00:58:50 3744 mV
00:59:50 3742 mV
01:00:50 3739 mV
01:01:50 3737 mV
01:02:49 3734 mV
01:03:49 3732 mV
01:04:49 3729 mV
01:05:49 3727 mV
01:06:49 3724 mV
01:07:49 3721 mV
01:08:49 3719 mV
01:09:48 3716 mV
01:10:48 3714 mV
01:11:48 3713 mV
01:12:48 3710 mV
01:13:48 3708 mV
01:14:48 3705 mV
01:15:48 3702 mV
01:16:47 3700 mV
01:17:47 3698 mV
01:18:47 3695 mV
01:19:47 3695 mV
01:20:47 3700 mV
01:21:47 3698 mV
01:22:46 3697 mV
01:23:46 3694 mV
01:24:46 3692 mV
01:25:46 3689 mV
01:26:46 3689 mV
01:27:46 3686 mV
01:28:46 3684 mV
01:29:45 3686 mV
01:30:45 3691 mV
01:31:45 3689 mV
01:32:45 3687 mV
01:33:45 3684 mV
01:34:45 3683 mV
01:35:45 3681 mV
01:36:44 3679 mV
01:37:44 3678 mV
01:38:44 3676 mV
01:39:44 3675 mV
01:40:44 3673 mV
01:41:44 3672 mV
01:42:43 3670 mV
01:43:43 3668 mV
01:44:43 3668 mV
01:45:43 3667 mV
01:46:43 3665 mV
01:47:43 3664 mV
01:48:43 3662 mV
01:49:42 3661 mV
01:50:42 3659 mV
01:51:42 3659 mV
01:52:42 3658 mV
01:53:42 3656 mV
01:54:42 3654 mV
01:55:42 3654 mV
01:56:41 3653 mV
01:57:41 3651 mV
01:58:41 3650 mV
01:59:41 3648 mV
02:00:41 3648 mV
02:01:41 3647 mV
02:02:40 3645 mV
02:03:40 3645 mV
02:04:40 3644 mV
02:05:40 3644 mV
02:06:40 3642 mV
02:07:40 3640 mV
02:08:40 3640 mV
02:09:39 3639 mV
02:10:39 3639 mV
02:11:39 3637 mV
02:12:39 3636 mV
02:13:39 3636 mV
02:14:39 3634 mV
02:15:38 3634 mV
02:16:38 3633 mV
02:17:38 3631 mV
02:18:38 3631 mV
02:19:38 3631 mV
02:20:38 3630 mV
02:21:38 3630 mV
02:22:37 3628 mV
02:23:37 3628 mV
02:24:37 3627 mV
02:25:37 3627 mV
02:26:37 3625 mV
02:27:37 3625 mV
02:28:37 3624 mV
02:29:36 3622 mV
02:30:36 3622 mV
02:31:36 3621 mV
02:32:36 3619 mV
02:33:36 3619 mV
02:34:36 3618 mV
02:35:35 3616 mV
02:36:35 3616 mV
02:37:35 3615 mV
02:38:35 3613 mV
02:39:35 3585 mV
02:40:35 3612 mV
02:41:35 3608 mV
02:42:34 3608 mV
02:43:34 3579 mV
02:44:34 3577 mV
02:45:34 3604 mV
02:46:34 3573 mV
02:47:34 3599 mV
02:48:33 3598 mV
02:49:33 3579 mV
02:50:33 3565 mV
02:51:33 3564 mV
02:52:33 3562 mV
02:53:33 3559 mV
02:54:33 3558 mV
02:55:32 3555 mV
02:56:32 3552 mV
02:57:32 3551 mV
02:58:32 3548 mV
02:59:32 3545 mV
03:00:32 3542 mV
03:01:32 3541 mV
03:02:31 3538 mV
03:03:31 3536 mV
03:04:31 3535 mV
03:05:31 3533 mV
03:06:31 3532 mV
03:07:31 3531 mV
03:08:31 3528 mV
03:09:30 3526 mV
03:10:30 3526 mV
03:11:30 3522 mV
03:12:30 3521 mV
03:13:30 3518 mV
03:14:30 3513 mV
03:15:30 3509 mV
03:16:29 3505 mV
03:17:29 3488 mV
03:18:29 3481 mV
03:19:29 3471 mV
03:20:29 3459 mV
03:21:29 3443 mV
03:22:28 3424 mV
03:23:28 3376 mV
03:24:28 3349 mV
03:25:28 3319 mV
