--- RESET ---
00:00:59 3960 mV
00:01:59 3955 mV
00:02:59 3951 mV
00:03:58 3947 mV
00:04:58 3944 mV
00:05:58 3942 mV
00:06:58 3940 mV
00:07:58 3936 mV
00:08:58 3933 mV
00:09:57 3929 mV
00:10:57 3927 mV
00:11:57 3924 mV
00:12:57 3920 mV
00:13:57 3918 mV
00:14:57 3914 mV
00:15:56 3911 mV
00:16:56 3896 mV
00:17:56 3893 mV
00:18:56 3889 mV
00:19:56 3887 mV
00:20:56 3884 mV
00:21:55 3882 mV
00:22:55 3879 mV
00:23:55 3875 mV
00:24:55 3873 mV
00:25:55 3870 mV
00:26:55 3866 mV
00:27:54 3863 mV
00:28:54 3861 mV
00:29:54 3857 mV
00:30:54 3854 mV
00:31:54 3852 mV
00:32:54 3849 mV
00:33:54 3845 mV
00:34:53 3843 mV
00:35:53 3838 mV
00:36:53 3836 mV
00:37:53 3833 mV
00:38:53 3831 mV
00:39:53 3828 mV
00:40:52 3826 mV
00:41:52 3823 mV
00:42:52 3819 mV
00:43:52 3818 mV
00:44:52 3814 mV
00:45:52 3811 mV
00:46:51 3809 mV
00:47:51 3806 mV
00:48:51 3804 mV
00:49:51 3800 mV
00:50:51 3767 mV
00:51:51 3764 mV
00:52:50 3762 mV
00:53:50 3759 mV
00:54:50 3755 mV
00:55:50 3754 mV
00:56:50 3752 mV
00:57:50 3749 mV
00:58:50 3745 mV
00:59:49 3744 mV
01:00:49 3742 mV
01:01:49 3739 mV
01:02:49 3736 mV
01:03:49 3734 mV
01:04:49 3731 mV
01:05:48 3729 mV
01:06:48 3726 mV
01:07:48 3724 mV
01:08:48 3721 mV
01:09:48 3719 mV
01:10:48 3716 mV
01:11:47 3714 mV
01:12:47 3711 mV
01:13:47 3710 mV
01:14:47 3706 mV
01:15:47 3705 mV
01:16:47 3702 mV
01:17:47 3700 mV
01:18:46 3697 mV
01:19:46 3695 mV
01:20:46 3694 mV
01:21:46 3700 mV
01:22:46 3698 mV
01:23:46 3697 mV
01:24:45 3694 mV
01:25:45 3692 mV
01:26:45 3691 mV
01:27:45 3687 mV
01:28:45 3686 mV
01:29:45 3686 mV
01:30:44 3686 mV
01:31:44 3691 mV
01:32:44 3689 mV
01:33:44 3687 mV
01:34:44 3686 mV
01:35:44 3684 mV
01:36:44 3683 mV
01:37:43 3679 mV
01:38:43 3679 mV
01:39:43 3676 mV
01:40:43 3675 mV
01:41:43 3673 mV
01:42:43 3672 mV
01:43:42 3672 mV
01:44:42 3670 mV
01:45:42 3668 mV
01:46:42 3667 mV
01:47:42 3665 mV
01:48:42 3664 mV
01:49:42 3662 mV
01:50:41 3662 mV
01:51:41 3661 mV
01:52:41 3659 mV
01:53:41 3658 mV
01:54:41 3656 mV
01:55:41 3656 mV
01:56:40 3654 mV
01:57:40 3653 mV
01:58:40 3651 mV
01:59:40 3651 mV
02:00:40 3650 mV
02:01:40 3648 mV
02:02:40 3648 mV
02:03:39 3647 mV
02:04:39 3645 mV
02:05:39 3645 mV
02:06:39 3644 mV
02:07:39 3644 mV
02:08:39 3642 mV
02:09:38 3640 mV
02:10:38 3640 mV
02:11:38 3639 mV
02:12:38 3637 mV
02:13:38 3637 mV
02:14:38 3636 mV
02:15:38 3636 mV
02:16:37 3634 mV
02:17:37 3634 mV
02:18:37 3633 mV
02:19:37 3633 mV
02:20:37 3631 mV
02:21:37 3631 mV
02:22:36 3630 mV
02:23:36 3630 mV
02:24:36 3628 mV
02:25:36 3628 mV
02:26:36 3627 mV
02:27:36 3627 mV
02:28:36 3625 mV
02:29:35 3625 mV
02:30:35 3624 mV
02:31:35 3622 mV
02:32:35 3622 mV
02:33:35 3621 mV
02:34:35 3621 mV
02:35:34 3619 mV
02:36:34 3618 mV
02:37:34 3618 mV
02:38:34 3616 mV
02:39:34 3616 mV
02:40:34 3615 mV
02:41:34 3613 mV
02:42:33 3612 mV
02:43:33 3610 mV
02:44:33 3608 mV
02:45:33 3607 mV
02:46:33 3605 mV
02:47:33 3577 mV
02:48:32 3604 mV
02:49:32 3601 mV
02:50:32 3571 mV
02:51:32 3598 mV
02:52:32 3596 mV
02:53:32 3567 mV
02:54:32 3564 mV
02:55:31 3562 mV
02:56:31 3559 mV
02:57:31 3558 mV
02:58:31 3555 mV
02:59:31 3554 mV
03:00:31 3551 mV
03:01:30 3548 mV
03:02:30 3545 mV
03:03:30 3543 mV
03:04:30 3541 mV
03:05:30 3538 mV
03:06:30 3536 mV
03:07:30 3535 mV
03:08:29 3533 mV
03:09:29 3532 mV
03:10:29 3531 mV
03:11:29 3529 mV
03:12:29 3526 mV
03:13:29 3525 mV
03:14:28 3522 mV
03:15:28 3521 mV
03:16:28 3518 mV
03:17:28 3515 mV
03:18:28 3509 mV
03:19:28 3505 mV
03:20:28 3489 mV
03:21:27 3482 mV
03:22:27 3473 mV
03:23:27 3460 mV
03:24:27 3444 mV
03:25:27 3425 mV
03:26:27 3378 mV
03:27:26 3351 mV
03:28:26 3322 mV
